timestamp,open,close,high,low
2023-12-27,0.9996349,1.0016596,1.00249439,0.99895
2023-12-28,1.00170367,1.00090032,1.00173349,1.00045
2023-12-29,1.00081004,1.00044811,1.00142944,0.99946617
2023-12-30,1.0004389,1.00024337,1.00082647,0.99935416
2023-12-31,1.00023501,0.99843137,1.00031507,0.99825
2024-01-01,0.99843137,1.00010002,1.00054259,0.99835
2024-01-02,1.00010002,0.99893217,1.00032506,0.997682
2024-01-03,0.99893217,0.9995065,1.00299,0.99825005
2024-01-04,0.99955204,1.00120822,1.00148108,0.99893757
2024-01-05,1.00113405,1.00113213,1.00218096,1.00057476
2024-01-06,1.00113145,1.00104219,1.00152949,1.00062484
2024-01-07,1.00100502,0.99991479,1.00142944,0.99943791
2024-01-08,0.99983152,0.99823605,1.0003237,0.99818627
2024-01-09,0.99827069,0.99854803,0.99948269,0.99790106
2024-01-10,0.99853878,0.99850131,0.99929968,0.9981809
2024-01-11,0.99845012,0.99830113,0.99908499,0.99673407
2024-01-12,0.99830113,0.99820757,0.99881322,0.99652706
2024-01-13,0.99825,0.99865592,0.99875754,0.99782826
2024-01-14,0.99865592,0.99842551,0.99875005,0.99808018
2024-01-15,0.99842551,1.00312094,1.00435002,0.99820575
2024-01-16,1.00314594,1.00175002,1.00461849,1.00113421
2024-01-17,1.00175005,1.00153758,1.003966,0.99915087
2024-01-18,1.00152249,1.00332827,1.00366308,1.00099922
2024-01-19,1.00343188,1.00319144,1.00407005,1.00190334
2024-01-20,1.00319144,1.00234415,1.00405229,1.0017649
2024-01-21,1.00232697,1.00132985,1.00273128,1.00109918
2024-01-22,1.00137732,1.00071428,1.00179964,1.00041256
2024-01-23,1.00072133,0.99950009,1.00126664,0.99849303
2024-01-24,0.99950013,0.99830011,0.99990009,0.99748603
2024-01-25,0.99827369,0.99862978,0.99935,0.99793147
2024-01-26,0.99863447,0.99913516,1.00089922,0.99819783
2024-01-27,0.99909536,0.99944228,0.99965,0.9988243
2024-01-28,0.99944228,0.99961254,0.99974545,0.99895769
2024-01-29,0.99961682,1.00006334,1.0006275,0.99935012
2024-01-30,1.00005006,0.99955005,1.00042499,0.9994026
2024-01-31,0.99955006,0.99930013,0.99995,0.99904581
2024-02-01,0.99930013,0.99975753,1.0000475,0.99884008
2024-02-02,0.99975654,0.99925925,1.00004999,0.99876249
2024-02-03,0.99925925,0.99952005,0.99965125,0.99849282
2024-02-04,0.99952005,0.99997435,1.00024679,0.99928263
2024-02-05,0.99997251,0.99931208,1.00039998,0.99887415
2024-02-06,0.99931208,0.99975001,1.00015,0.99895085
2024-02-07,0.99972986,0.99994001,1.00024999,0.99889161
2024-02-08,0.99992583,1.00281156,1.00355,0.99980503
2024-02-09,1.00279522,1.00433486,1.00499683,1.0019698
2024-02-10,1.00429492,1.00459023,1.0058012,1.00371087
2024-02-11,1.00459023,1.00470098,1.0050795,1.00322253
2024-02-12,1.00470098,1.0037374,1.00542991,1.00354571
2024-02-13,1.00372259,1.00170034,1.0039136,1.00099434
2024-02-14,1.00170034,1.00086899,1.00222532,1.00002143
2024-02-15,1.00080072,1.00023181,1.00130105,0.9997967
2024-02-16,1.00023181,1.00047505,1.00113459,0.99985006
2024-02-17,1.00047504,1.00010619,1.0010008,0.99971663
2024-02-18,1.00012737,0.99952319,1.00030012,0.99915005
2024-02-19,0.99947968,0.99785006,0.99984994,0.99765003
2024-02-20,0.99785003,0.9980501,0.99912197,0.99752567
2024-02-21,0.99805,1.00407009,1.00439271,0.99802811
2024-02-22,1.00407009,1.0018498,1.00455783,1.00088955
2024-02-23,1.00179962,1.00177936,1.00274598,1.0001986
2024-02-24,1.00173228,1.00165002,1.00205002,1.00122485
2024-02-25,1.00165,1.00024,1.00167775,1.0
2024-02-26,1.0002385,0.99960922,1.00087518,0.99867624
2024-02-27,0.99950258,0.99888495,1.00028479,0.9980626
