timestamp,open,close,high,low
2023-04-13,1.19399286,1.36942928,1.37714423,1.17880354
2023-04-14,1.36942928,1.69918739,1.7370006,1.36873023
2023-04-15,1.69918739,1.65418755,1.7433218,1.6073148
2023-04-16,1.65418755,1.69668207,1.72261632,1.57449856
2023-04-17,1.69659914,1.60987504,1.69957488,1.58525115
2023-04-18,1.60987504,1.67314338,1.81660496,1.58503803
2023-04-19,1.67305056,1.48995555,1.69635806,1.45594768
2023-04-20,1.44172858,1.44172858,1.54034,1.40398803
2023-04-21,1.44057504,1.47146147,1.50114952,1.41034999
2023-04-22,1.46765589,1.46419637,1.50002256,1.42611196
2023-04-23,1.46152505,1.34111984,1.46506627,1.30082132
2023-04-24,1.34086955,1.33850851,1.3680489,1.28150874
2023-04-25,1.33858151,1.37938828,1.38698435,1.29431472
2023-04-26,1.379,1.38438452,1.50431733,1.3216725
2023-04-27,1.38495395,1.42359828,1.45315,1.37728203
2023-04-28,1.42354824,1.38048315,1.4438165,1.36297718
2023-04-29,1.38081,1.36811563,1.39542797,1.33215
2023-04-30,1.36761545,1.3686,1.42551374,1.34817206
2023-05-01,1.36666667,1.31909,1.3871968,1.28894
2023-05-02,1.31819999,1.34904,1.35956181,1.30764999
2023-05-03,1.34933226,1.34285,1.36387497,1.29636482
2023-05-04,1.34274999,1.31880791,1.36459525,1.30814041
2023-05-05,1.31890468,1.35714635,1.36699586,1.29162755
2023-05-06,1.35717591,1.24129584,1.36832258,1.2175001
2023-05-07,1.24279,1.22099835,1.2610352,1.21787
2023-05-08,1.21586726,1.09524516,1.23102,1.01262542
2023-05-09,1.09266499,1.103497,1.12027308,1.0782
2023-05-10,1.10346467,1.17131281,1.20538081,1.090218
2023-05-11,1.17125491,1.08915246,1.17243794,1.0532106
2023-05-12,1.08975402,1.17227536,1.17727838,1.06284999
2023-05-13,1.17185025,1.17045,1.1915,1.14450005
2023-05-14,1.1689,1.17117561,1.20718402,1.14388548
2023-05-15,1.17119281,1.1885001,1.2295001,1.14825091
2023-05-16,1.1911,1.180395,1.21268,1.1639
2023-05-17,1.18101193,1.19840992,1.21236062,1.13169318
2023-05-18,1.19864799,1.15595403,1.21439481,1.13672161
2023-05-19,1.15490775,1.16386336,1.17345279,1.14203324
2023-05-20,1.16379673,1.16385735,1.16934234,1.15026228
2023-05-21,1.16404935,1.12758191,1.17139284,1.1123
2023-05-22,1.12597867,1.12562499,1.13956597,1.10627658
2023-05-23,1.12569071,1.16666582,1.17919032,1.11940457
2023-05-24,1.16670083,1.109315,1.16734417,1.0809378
